"",".variable","DMU","Year","Age","Sex","a","k","s","i",".value",".lower",".upper",".width",".point",".interval"
"85","Report","W1",2005,"F","M",1,1,2,8,0.282180777316731,0.137264799357581,0.456700078346128,0.9,"median","qi"
"86","Hest","W2",2005,"F","M",1,1,2,9,1342.75389394826,892.867350180834,2137.48021404425,0.9,"median","qi"
"87","HS","W2",2005,"F","M",1,1,2,9,0.965664882567616,0.948790293631038,0.975027403167126,0.9,"median","qi"
"88","N","W2",2005,"F","M",1,1,2,9,34217.5,27184,64364.15,0.9,"median","qi"
"89","NS","W2",2005,"F","M",1,1,2,9,0.860385795857591,0.569528225088398,0.956324995385755,0.9,"median","qi"
"90","Report","W2",2005,"F","M",1,1,2,9,0.474064731806062,0.244251332997384,0.655513686008043,0.9,"median","qi"
"91","Hest","E1",2006,"F","F",1,2,1,1,1416.97027826793,1089.98228672878,1695.05926505441,0.9,"median","qi"
"92","HS","E1",2006,"F","F",1,2,1,1,0.951683636815659,0.941429226410881,0.963800353729885,0.9,"median","qi"
"93","N","E1",2006,"F","F",1,2,1,1,29316.9548624953,21283.7902565942,38445.0706563392,0.9,"median","qi"
"94","NS","E1",2006,"F","F",1,2,1,1,0.871023259425041,0.826261841671608,0.920644523900598,0.9,"median","qi"
"95","Report","E1",2006,"F","F",1,2,1,1,0.792463451728537,0.646797993995068,0.960248391444608,0.9,"median","qi"
"96","Hest","E2",2006,"F","F",1,2,1,2,1085.52797246899,657.110331355046,1465.70163234694,0.9,"median","qi"
"97","HS","E2",2006,"F","F",1,2,1,2,0.968578494991071,0.949454168602262,0.97544162255372,0.9,"median","qi"
"98","N","E2",2006,"F","F",1,2,1,2,28983.2504753923,24437.6652276979,38651.8175068181,0.9,"median","qi"
"99","NS","E2",2006,"F","F",1,2,1,2,0.834945519915248,0.502855857095187,0.944605151623312,0.9,"median","qi"
"100","Report","E2",2006,"F","F",1,2,1,2,0.565605999823424,0.407714105555657,0.911289438442661,0.9,"median","qi"
"101","Hest","E3",2006,"F","F",1,2,1,3,2439.64657916951,1383.90106967393,3178.39400311516,0.9,"median","qi"
"102","HS","E3",2006,"F","F",1,2,1,3,0.929984302805773,0.897680925023817,0.969580124667661,0.9,"median","qi"
"103","N","E3",2006,"F","F",1,2,1,3,38675.7549808915,26698.220977708,49008.4235974961,0.9,"median","qi"
"104","NS","E3",2006,"F","F",1,2,1,3,0.761454370197955,0.619720393638186,0.818928783864712,0.9,"median","qi"
"105","Report","E3",2006,"F","F",1,2,1,3,0.440461510493688,0.298893789257577,0.86248843676799,0.9,"median","qi"
"106","Hest","M1",2006,"F","F",1,2,1,4,3668.76142196847,3019.90618817792,4358.4141962773,0.9,"median","qi"
"107","HS","M1",2006,"F","F",1,2,1,4,0.956993890574248,0.893520796612247,0.972517149149601,0.9,"median","qi"
"108","N","M1",2006,"F","F",1,2,1,4,89153.1866437665,30942.7613459176,133810.228806411,0.9,"median","qi"
"109","NS","M1",2006,"F","F",1,2,1,4,0.555323668445932,0.461417796026546,0.665346361827127,0.9,"median","qi"
"110","Report","M1",2006,"F","F",1,2,1,4,0.83951434062693,0.719442411248592,0.927872266864299,0.9,"median","qi"
"111","Hest","M2",2006,"F","F",1,2,1,5,2694.52400573091,2032.03494821935,4240.77174345488,0.9,"median","qi"
"112","HS","M2",2006,"F","F",1,2,1,5,0.9713443678177,0.930460300791289,0.980923354777366,0.9,"median","qi"
"113","N","M2",2006,"F","F",1,2,1,5,103884.904657661,41112.3655626304,139694.635087821,0.9,"median","qi"
"114","NS","M2",2006,"F","F",1,2,1,5,0.590942629212655,0.374175396136783,0.826211372290598,0.9,"median","qi"
"115","Report","M2",2006,"F","F",1,2,1,5,0.783652123414061,0.51336444086126,0.925406306019597,0.9,"median","qi"
"116","Hest","M3",2006,"F","F",1,2,1,6,2133.52141586326,1779.06464033811,6247.65392592612,0.9,"median","qi"
"117","HS","M3",2006,"F","F",1,2,1,6,0.931079056254583,0.818053620123694,0.96958059664595,0.9,"median","qi"
"118","N","M3",2006,"F","F",1,2,1,6,33120.0971051608,27280.6070281185,64894.7052110394,0.9,"median","qi"
"119","NS","M3",2006,"F","F",1,2,1,6,0.852648434360367,0.750275198039607,0.934755535421354,0.9,"median","qi"
"120","Report","M3",2006,"F","F",1,2,1,6,0.809556432682282,0.304669320854853,0.930106375673055,0.9,"median","qi"
"121","Hest","M4",2006,"F","F",1,2,1,7,2614.53841930224,2242.46227742516,3800.32143740141,0.9,"median","qi"
"122","HS","M4",2006,"F","F",1,2,1,7,0.955824721990213,0.91408791959433,0.972504083073191,0.9,"median","qi"
"123","N","M4",2006,"F","F",1,2,1,7,76430.9320123823,29526.2024497234,87633.7919846523,0.9,"median","qi"
"124","NS","M4",2006,"F","F",1,2,1,7,0.782535798845192,0.606911052147712,0.89167499449163,0.9,"median","qi"
"125","Report","M4",2006,"F","F",1,2,1,7,0.762541281269274,0.469579600838496,0.890150616697802,0.9,"median","qi"
"126","Hest","W1",2006,"F","F",1,2,1,8,3817.6281356747,1970.52483217312,8243.45387057729,0.9,"median","qi"
"127","HS","W1",2006,"F","F",1,2,1,8,0.910568385563996,0.840177567744413,0.962162281651641,0.9,"median","qi"
"128","N","W1",2006,"F","F",1,2,1,8,49473.4471869107,25382.628133312,86641.8568967585,0.9,"median","qi"
"129","NS","W1",2006,"F","F",1,2,1,8,0.838629494622298,0.590506137300759,0.918993167099275,0.9,"median","qi"
"130","Report","W1",2006,"F","F",1,2,1,8,0.54000320190788,0.230961233495687,0.98502374190484,0.9,"median","qi"
"131","Hest","W2",2006,"F","F",1,2,1,9,1979.43013274362,1606.6585563293,4618.09084776513,0.9,"median","qi"
"132","HS","W2",2006,"F","F",1,2,1,9,0.956824550272991,0.936111510511782,0.973788522958189,0.9,"median","qi"
"133","N","W2",2006,"F","F",1,2,1,9,41084.3335871537,31020.1615173091,137886.329213767,0.9,"median","qi"
"134","NS","W2",2006,"F","F",1,2,1,9,0.821900644478673,0.682184245617127,0.969227472476456,0.9,"median","qi"
"135","Report","W2",2006,"F","F",1,2,1,9,0.849765074430734,0.362906353088788,0.940990600182058,0.9,"median","qi"
